Student_Id;First_Name;Last_Name;Nationality;Major;Gender;Honor_Code_Violation
11056;Antone;Murphy;Spanish;Political Science;Male;No
11057;Antonia;Bailey;Spanish;Accounting;Male;No
11058;Antonio;Rivera;Spanish;Chinese Studies;Male;No
11059;Antony;Cooper;Spanish;Biology;Male;No
11060;Antwan;Richardson;Spanish;Biology;Male;No
11061;Archie;Cox;Spanish;Anthropology;Male;No
11062;Arden;Howard;Spanish;Women, Gender and Sexuality Studies;Male;No
11063;Ariel;Ward;Spanish;Biology;Male;No
11064;Arlen;Torres;Spanish;Biology;Male;No
11065;Arlie;Peterson;Spanish;Biology;Male;No
11066;Armand;Gray;Spanish;Biology;Male;No
11067;Armando;Ramirez;Spanish;Theatre;Male;No
11068;Arnold;James;Spanish;American Studies;Male;No
11069;Arnoldo;Watson;USA;Computer Science;Male;No
11070;Arnulfo;Brooks;USA;Journalism;Male;No
11071;Aron;Kelly;USA;Environmental Studies;Male;No
11072;Arron;Sanders;USA;Sociology;Male;No
11073;Art;Price;USA;Dance;Male;No
11074;Arthur;Bennett;USA;Religious Studies;Male;No
11075;Arturo;Wood;USA;Film Studies;Male;No
11076;Asa;Barnes;USA;Political Science;Male;No
11077;Ashley;Ross;USA;Women, Gender and Sexuality Studies;Male;No
11078;Aubrey;Henderson;USA;Philosophy;Male;No
11079;August;Coleman;USA;French;Male;No
11080;Augustine;Jenkins;USA;Combined major in Greek;Male;No
11081;Augustus;Perry;USA;Art, Studio;Male;No
11082;Aurelio;Powell;USA;Accounting;Male;No
11083;Austin;Long;USA;International Studies;Male;No
11084;Avery;Patterson;USA;Classical Civilization;Male;No
11085;Barney;Hughes;USA;Dance;Male;No
11086;Barrett;Flores;USA;Psychology;Male;No
11087;Barry;Washington;USA;Theatre;Male;No
11088;Bart;Butler;USA;Psychology;Male;No
11089;Barton;Simmons;USA;Psychology;Male;No
11090;Basil;Foster;USA;Political Science;Male;No
11091;Beau;Gonzales;USA;Geography;Male;No
11092;Ben;Bryant;USA;Sociology;Male;No
11093;Benedict;Alexander;USA;French and International Business;Male;No
11094;Benito;Russell;USA;American Studies;Male;No
11095;Benjamin;Griffin;USA;Political Science;Male;No
11096;Bennett;Diaz;USA;Philosophy;Male;No
11097;Bennie;Hayes;USA;Spanish (see LAIS);Male;No
11098;Benny;Myers;USA;Leadership Studies;Male;No
11099;Benton;Ford;USA;Geography;Male;No
11100;Bernard;Hamilton;USA;Computer Science;Male;No
11101;Bernardo;Graham;USA;Physics - Interdisciplinary;Male;No
11102;Bernie;Sullivan;USA;Philosophy;Male;No
11103;Berry;Wallace;USA;Combined major in Latin;Male;No
11104;Bert;Woods;USA;Religious Studies;Male;No
11105;Bertram;Cole;USA;Mathematical Economics;Male;No
11106;Bill;West;USA;Classical Civilization;Male;No
11107;Billie;Jordan;USA;Theatre;Male;No
11108;Billy;Owens;USA;Philosophy;Male;No
11109;Blaine;Reynolds;USA;Combined major in Latin;Male;No
11110;Blair;Fisher;USA;Dance;Male;No
11111;Blake;Ellis;USA;Geography;Male;No
11112;Bo;Harrison;USA;Computer Science;Male;No
11113;Bob;Gibson;USA;Combined major in Theatre;Male;No
11114;Bobbie;Mcdonald;USA;Combined major in Greek;Male;No
11115;Bobby;Cruz;USA;Philosophy;Male;No
11116;Booker;Marshall;USA;Combined major in Latin;Male;No
11117;Boris;Ortiz;USA;Philosophy;Male;No
11118;Boyce;Gomez;USA;American Studies;Male;No
11119;Boyd;Murray;USA;Psychology;Male;No
11120;Brad;Freeman;USA;Italian Studies;Male;No
11121;Bradford;Wells;USA;Religious Studies;Male;No
11122;Bradley;Webb;USA;Accounting;Male;No
11123;Bradly;Simpson;USA;Computer Science;Male;No
11124;Brady;Stevens;USA;Psychology;Male;No
11125;Brain;Tucker;Japanese;History;Male;No
11126;Branden;Porter;USA;Geography;Male;No
11127;Brandon;Hunter;USA;Sociology;Male;No
11128;Brant;Hicks;USA;Film Studies;Male;No
11129;Brendan;Crawford;Nigerian;Biochemistry and Molecular Biology;Male;No
11130;Brendon;Henry;USA;Classical Civilization;Male;No
11131;Brent;Boyd;Great Britain;Physics - Interdisciplinary;Male;No
11132;Brenton;Mason;USA;Accounting;Male;No
11133;Bret;Morales;Chinese;Political Science;Male;No
11134;Brett;Kennedy;Korean;Psychology;Male;No
11135;Brian;Warren;Korean;Rhetoric and Communication Studies;Male;No
11136;Brice;Dixon;Korean;Political Science;Male;No
11137;Britt;Ramos;Korean;Spanish (see LAIS);Male;No
11138;Brock;Reyes;Korean;Physics - Interdisciplinary;Male;No
11139;Broderick;Burns;Korean;Psychology;Male;No
11140;Brooks;Gordon;Korean;Geography;Male;No
11141;Bruce;Shaw;Korean;American Studies;Male;No
11142;Bruno;Holmes;Korean;Accounting;Male;No
11143;Bryan;Rice;Korean;American Studies;Male;No
11144;Bryant;Robertson;Korean;Psychology;Male;No
11145;Bryce;Hunt;Korean;Combined major in Greek;Male;No
11146;Bryon;Black;Korean;Religious Studies;Male;No
11147;Buck;Daniels;Korean;Computer Science;Male;No
11148;Bud;Palmer;Korean;Computer Science;Male;No
11149;Buddy;Mills;USA;Psychology;Male;No
11150;Buford;Nichols;USA;Geography;Male;No
11151;Burl;Grant;USA;Classical Civilization;Male;No
11152;Burt;Knight;USA;Accounting;Male;No
11153;Burton;Ferguson;USA;Leadership Studies;Male;No
11154;Buster;Rose;USA;Combined major in Theatre;Male;No
11155;Byron;Stone;USA;Russian Studies;Male;No
11156;Caleb;Hawkins;USA;Combined major in Theatre;Male;No
11157;Calvin;Dunn;USA;Spanish (see LAIS);Male;No
11158;Cameron;Perkins;USA;Environmental Studies;Male;No
11159;Carey;Hudson;USA;American Studies;Male;No
11160;Carl;Spencer;USA;Psychology;Male;No
11161;Carlo;Gardner;USA;Psychology;Male;No
11162;Carlos;Stephens;USA;Psychology;Male;No
11163;Carlton;Payne;USA;Geography;Male;No
11164;Carmelo;Pierce;USA;Computer Science;Male;No
11165;Carmen;Berry;USA;Psychology;Male;No
11166;Carmine;Matthews;USA;Art History;Male;No
11167;Carol;Arnold;USA;Geography;Male;No
11168;Carrol;Wagner;USA;Philosophy, Politics, Economics and Law (PPEL);Male;No
11169;Carroll;Willis;USA;Computer Science;Male;No
11170;Carson;Ray;USA;Computer Science;Male;No
11171;Carter;Watkins;USA;Anthropology;Male;No
11172;Cary;Olson;USA;Computer Science;Male;No
11173;Casey;Carroll;USA;Computer Science;Male;No
11174;Cecil;Duncan;USA;Computer Science;Male;No
11175;Cedric;Snyder;USA;American Studies;Male;No
11176;Cedrick;Hart;USA;Art History;Male;No
11177;Cesar;Cunningham;USA;Computer Science;Male;No
11178;Chad;Bradley;USA;Computer Science;Male;No
11179;Chadwick;Lane;Korean;Classical Civilization;Male;No
11180;Chance;Andrews;Korean;Psychology;Male;No
11181;Chang;Ruiz;USA;Geography;Male;No
11182;Charles;Harper;USA;Spanish (see LAIS);Male;No
11183;Charley;Fox;USA;Computer Science;Male;No
11184;Charlie;Riley;USA;Criminal Justice;Male;No
11185;Chas;Armstrong;USA;Computer Science;Male;No
11186;Chase;Carpenter;USA;Geography;Male;No
11187;Chauncey;Weaver;USA;Computer Science;Male;No
11188;Chester;Greene;USA;Biology;Male;No
11189;Chet;Lawrence;USA;Biology;Male;No
11190;Chi;Elliott;USA;American Studies;Male;No
11191;Chong;Chavez;USA;Biology;Male;No
11192;Chris;Sims;USA;Biology;Male;No
11193;Christian;Austin;USA;Biology;Male;No
11194;Christoper;Peters;USA;Biology;Male;No
11195;Christopher;Kelley;USA;Biology;Male;No
11196;Chuck;Franklin;USA;Biology;Male;No
11197;Chung;Lawson;USA;Biology;Male;No
11198;Clair;Fields;USA;Biology;Male;No
11199;Clarence;Gutierrez;USA;Biology;Male;No
11200;Clark;Ryan;USA;Business Administration;Male;No
11201;Claud;Schmidt;USA;Business Administration;Male;No
11202;Claude;Carr;USA;Business Administration;Male;No
11203;Claudio;Vasquez;USA;Business Administration;Male;No
11204;Clay;Castillo;USA;Business Administration;Male;No
11205;Clayton;Wheeler;USA;Business Administration;Male;No
11206;Clement;Chapman;USA;Business Administration;Male;No
11207;Clemente;Oliver;USA;American Studies;Male;No
11208;Cleo;Montgomery;USA;Business Administration;Male;No
11209;Cletus;Richards;USA;Business Administration;Male;No
11210;Cleveland;Williamson;Korean;Anthropology;Male;No
11211;Cliff;Johnston;Korean;Business Administration;Male;No
11212;Clifford;Banks;Korean;Physics;Male;No
11213;Clifton;Meyer;Korean;Business Administration;Male;No
11214;Clint;Bishop;Korean;Business Administration;Male;No
11215;Clinton;Mccoy;Korean;Business Administration;Male;No
11216;Clyde;Howell;Korean;Business Administration;Male;No
11217;Cody;Alvarez;Korean;Accounting;Male;No
11218;Colby;Morrison;Korean;Business Administration;Male;No
11219;Cole;Hansen;Korean;Business Administration;Male;No
11220;Coleman;Fernandez;Korean;Business Administration;Male;Yes
11221;Colin;Garza;Korean;Business Administration;Male;No
11222;Collin;Harvey;Korean;Philosophy;Male;No
11223;Colton;Little;Korean;Business Administration;Male;No
11224;Columbus;Burton;Korean;Business Administration;Male;No
11225;Connie;Stanley;Korean;American Studies;Male;No
11226;Conrad;Nguyen;Korean;Business Administration;Male;No
11227;Cordell;George;Korean;Computer Science;Male;No
11228;Corey;Jacobs;Korean;Business Administration;Male;No
11229;Cornelius;Reid;Korean;Business Administration;Male;No
11230;Cornell;Kim;USA;Business Administration;Male;No
11231;Cortez;Fuller;USA;Business Administration;Male;No
11232;Cory;Lynch;USA;Physics;Male;No
11233;Courtney;Dean;USA;Business Administration;Male;No
11234;Coy;Gilbert;USA;Business Administration;Male;No
11235;Craig;Garrett;USA;Business Administration;Male;No
11236;Cristobal;Romero;USA;Criminal Justice;Male;No
11237;Cristopher;Welch;USA;Theatre;Male;No
11238;Cruz;Larson;USA;Biochemistry and Molecular Biology;Male;No
11239;Curt;Frazier;USA;Economics (Arts & Sciences);Male;No
11240;Curtis;Burke;USA;Geography;Male;No
11241;Cyril;Hanson;USA;Philosophy;Male;No
11242;Cyrus;Day;USA;Accounting;Male;No
11243;Dale;Mendoza;USA;Film Studies;Male;No
11244;Dallas;Moreno;USA;Italian Studies;Male;No
11245;Dalton;Bowman;USA;Combined major in Greek;Male;No
11246;Damian;Medina;USA;Sociology;Male;No
11247;Damien;Fowler;USA;Sociology;Male;No
11248;Damion;Brewer;USA;Environmental Studies;Male;No
11249;Damon;Hoffman;USA;Film Studies;Male;No
11250;Dan;Carlson;USA;Physics - Interdisciplinary;Male;No
11251;Dana;Silva;USA;Religious Studies;Male;No
11252;Dane;Pearson;USA;Physics;Male;No
11253;Danial;Holland;USA;Journalism;Male;No
11254;Daniel;Douglas;USA;Classical Civilization;Male;No
11255;Danilo;Fleming;USA;English;Male;No
11256;Dannie;Jensen;USA;American Studies;Male;No
11257;Danny;Vargas;USA;Philosophy;Male;No
11258;Dante;Byrd;USA;Combined major in Classics;Male;No
11259;Darell;Davidson;USA;Film Studies;Male;No
11260;Daren;Hopkins;USA;Environmental Studies;Male;No
11261;Darin;May;USA;Combined major in WGSS;Male;No
11262;Dario;Terry;USA;Spanish (see LAIS);Male;No
11263;Darius;Herrera;USA;German and International Business;Male;No
11264;Darnell;Wade;USA;Computer Science;Male;No
11265;Daron;Soto;USA;Computer Science;Male;No
11266;Darrel;Walters;USA;Computer Science;Male;Yes
11267;Darrell;Curtis;USA;Accounting;Male;Yes
11268;Darren;Neal;USA;Computer Science;Male;No
11269;Darrick;Caldwell;USA;Computer Science;Male;No
11270;Darrin;Lowe;USA;Computer Science;Male;Yes
11271;Darron;Jennings;USA;Computer Science;Male;No
11272;Darryl;Barnett;Korean;Accounting;Male;No
11273;Darwin;Graves;Korean;Computer Science;Male;No
11274;Daryl;Jimenez;Korean;Computer Science;Male;No
11275;Dave;Horton;Korean;Computer Science;Male;No
11276;David;Shelton;Korean;Computer Science;Male;No
11277;Davis;Barrett;Korean;Computer Science;Male;No
11278;Dean;Obrien;Korean;Computer Science;Male;No
11279;Deandre;Castro;Korean;Computer Science;Male;No
11280;Deangelo;Sutton;Korean;Computer Science;Male;No
11281;Dee;Gregory;Korean;Computer Science;Male;No
11282;Del;Mckinney;Korean;Accounting;Male;No
11283;Delbert;Lucas;Korean;Art History;Male;No
11284;Delmar;Miles;Korean;Computer Science;Male;No
11285;Delmer;Craig;Korean;Computer Science;Male;No
11286;Demarcus;Rodriquez;Korean;Computer Science;Male;No
11287;Demetrius;Chambers;Korean;Spanish (see LAIS);Male;No
11288;Denis;Holt;USA;Anthropology;Male;No
11289;Dennis;Lambert;USA;Accounting;Male;No
11290;Denny;Fletcher;USA;Accounting;Male;No
11291;Denver;Watts;USA;Accounting;Male;No
11292;Deon;Bates;USA;Spanish (see LAIS);Male;No
11293;Derek;Hale;USA;Accounting;Male;No
11294;Derick;Rhodes;USA;Accounting;Male;No
11295;Derrick;Pena;USA;Accounting;Male;No
11296;Deshawn;Beck;USA;Accounting;Male;No
11297;Desmond;Newman;USA;Accounting;Male;No
11298;Devin;Haynes;USA;Accounting;Male;No
11299;Devon;Mcdaniel;USA;Sociology;Male;No
11300;Dewayne;Mendez;USA;Accounting;Male;No
11301;Dewey;Bush;USA;Accounting;Male;No
11302;Dewitt;Vaughn;USA;Accounting;Male;No
11303;Dexter;Parks;USA;Spanish (see LAIS);Male;No
11304;Dick;Dawson;USA;Women, Gender and Sexuality Studies;Male;No
11305;Diego;Santiago;USA;Physics;Male;No
11306;Dillon;Norris;USA;Computer Science;Male;No
11307;Dino;Hardy;USA;Accounting;Male;No
11308;Dion;Love;Dutch;Accounting;Male;No
11309;Dirk;Steele;Nigerian;Accounting;Male;No
11310;Domenic;Curry;USA;Accounting;Male;No
11311;Domingo;Powers;Great Britain;Women, Gender and Sexuality Studies;Male;Yes
11312;Dominic;Schultz;USA;Accounting;Male;Yes
11313;Dominick;Barker;Chinese;Accounting;Male;No
11314;Dominique;Guzman;USA;Accounting;Male;No
11315;Don;Page;Indonesian;Accounting;Male;No
11316;Donald;Munoz;Russian;Accounting;Male;No
11317;Dong;Ball;German;Accounting;Male;No
11318;Donn;Keller;Spanish;Accounting;Male;No
11319;Donnell;Chandler;Mexican;Accounting;Male;No
11320;Donnie;Weber;Japanese;Accounting;Male;Yes
11321;Donny;Leonard;USA;Physics;Male;No
11322;Donovan;Walsh;USA;Theatre;Male;No
11323;Donte;Lyons;USA;Accounting;Male;No
11324;Dorian;Ramsey;Nigerian;Accounting;Male;No
11325;Dorsey;Wolfe;USA;Sociology;Male;No
11326;Doug;Schneider;Great Britain;Physics;Male;No
11327;Douglas;Mullins;USA;Accounting;Male;No
11328;Douglass;Benson;Chinese;Sociology;Male;No
11329;Doyle;Sharp;USA;Accounting;Male;No
11330;Drew;Bowen;Indonesian;Spanish (see LAIS);Male;No
11331;Duane;Daniel;Russian;Sociology;Male;No
11332;Dudley;Barber;German;Accounting;Male;No
11333;Duncan;Cummings;Spanish;Accounting;Male;Yes
11334;Dustin;Hines;Mexican;Sociology;Male;No
11335;Dusty;Baldwin;Japanese;Sociology;Male;No
11336;Dwain;Griffith;USA;Sociology;Male;No
11337;Dwayne;Valdez;USA;Sociology;Male;No
11338;Dwight;Hubbard;USA;Sociology;Male;Yes
11339;Dylan;Salazar;USA;Women, Gender and Sexuality Studies;Male;Yes
11340;Earl;Reeves;USA;Sociology;Male;No
11341;Earle;Warner;Great Britain;Sociology;Male;No
11342;Earnest;Stevenson;USA;Sociology;Male;No
11343;Ed;Burgess;Chinese;Sociology;Male;No
11344;Eddie;Santos;USA;Sociology;Male;No
11345;Eddy;Tate;Indonesian;Sociology;Male;No
11346;Edgar;Cross;Russian;Sociology;Male;No
11347;Edgardo;Garner;German;Sociology;Male;No
11348;Edison;Mann;Spanish;Accounting;Male;No
11349;Edmond;Mack;Mexican;Computer Science;Male;No
11350;Edmund;Moss;Japanese;Spanish (see LAIS);Male;No
11351;Edmundo;Thornton;USA;Philosophy;Male;No
11352;Eduardo;Dennis;USA;Accounting;Male;No
11353;Edward;Mcgee;USA;Theatre;Male;No
11354;Edwardo;Farmer;USA;Accounting;Male;No
11355;Edwin;Delgado;USA;Physics;Male;No
11356;Efrain;Aguilar;Great Britain;Accounting;Male;No
11357;Efren;Vega;USA;Philosophy;Male;No
11358;Elbert;Glover;Chinese;Accounting;Male;No
11359;Elden;Manning;USA;Accounting;Male;No
11360;Eldon;Cohen;USA;Accounting;Male;No
11361;Eldridge;Harmon;Russian;Spanish (see LAIS);Male;No
11362;Eli;Rodgers;German;Accounting;Male;No
11363;Elias;Robbins;Spanish;Sociology;Male;No
11364;Elijah;Newton;Mexican;Philosophy;Male;No
11365;Eliseo;Todd;Japanese;Physics;Male;No
11366;Elisha;Blair;Native American;Theatre;Male;No
11367;Elliot;Higgins;USA;Accounting;Male;No
11368;Elliott;Ingram;USA;Accounting;Male;No
11369;Ellis;Reese;USA;Accounting;Male;No
11370;Ellsworth;Cannon;USA;Spanish (see LAIS);Male;No
11371;Elmer;Strickland;Great Britain;Accounting;Male;No
11372;Elmo;Townsend;USA;Sociology;Male;No
11373;Eloy;Potter;Chinese;Philosophy;Male;No
11374;Elroy;Goodwin;USA;Accounting;Male;No
11375;Elton;Walton;USA;Accounting;Male;No
11376;Elvin;Rowe;Russian;Accounting;Male;No
11377;Elvis;Hampton;German;Philosophy;Male;No
11378;Elwood;Ortega;Spanish;Accounting;Male;No
11379;Emanuel;Patton;Mexican;Sociology;Male;No
11380;Emerson;Swanson;Japanese;Spanish (see LAIS);Male;No
11381;Emery;Joseph;USA;Accounting;Male;No
11382;Emil;Francis;USA;Accounting;Male;No
11383;Emile;Goodman;USA;Theatre;Male;No
11384;Emilio;Maldonado;USA;Philosophy;Male;No
11385;Emmanuel;Yates;USA;Accounting;Male;No
11386;Emmett;Becker;Great Britain;Accounting;Male;No
11387;Emmitt;Erickson;USA;Accounting;Male;No
11388;Emory;Hodges;Chinese;Philosophy;Male;No
11389;Enoch;Rios;USA;Accounting;Male;No
11390;Enrique;Conner;USA;Women, Gender and Sexuality Studies;Male;No
11391;Erasmo;Adkins;Russian;Sociology;Male;No
11392;Eric;Webster;German;Computer Science;Male;No
11393;Erich;Norman;Spanish;Women, Gender and Sexuality Studies;Male;No
11394;Erick;Malone;Mexican;Physics;Male;No
11395;Erik;Hammond;Japanese;Accounting;Male;No
11396;Erin;Flowers;USA;Philosophy;Male;No
11397;Ernest;Cobb;USA;Computer Science;Male;No
11398;Ernesto;Moody;USA;Accounting;Male;No
11399;Ernie;Quinn;USA;Physics;Male;No
11400;Errol;Blake;USA;Accounting;Male;No
11401;Ervin;Maxwell;Great Britain;Philosophy;Male;No
11402;Erwin;Pope;USA;Sociology;Male;No
11403;Esteban;Floyd;USA;Sociology;Male;No
11404;Ethan;Osborne;USA;Sociology;Male;No
11405;Eugene;Paul;Indonesian;Sociology;Male;No
11406;Eugenio;Mccarthy;USA;Sociology;Male;No
11407;Eusebio;Guerrero;German;Sociology;Male;No
11408;Evan;Lindsey;Spanish;Sociology;Male;No
11409;Everett;Estrada;Mexican;Sociology;Male;No
11410;Everette;Sandoval;USA;Sociology;Male;No
11411;Ezekiel;Gibbs;USA;Sociology;Male;No
11412;Ezequiel;Tyler;USA;Sociology;Male;No
11413;Ezra;Gross;USA;Sociology;Male;No
11414;Fabian;Fitzgerald;USA;Theatre;Male;No
11415;Faustino;Stokes;USA;Sociology;Male;No
11416;Fausto;Doyle;Great Britain;Physics;Male;No
11417;Federico;Sherman;USA;Physics;Male;No
11418;Felipe;Saunders;USA;Spanish (see LAIS);Male;No
11419;Felix;Wise;USA;Physics;Male;No
11420;Felton;Colon;USA;Accounting;Male;No
11421;Ferdinand;Gill;USA;Accounting;Male;No
11422;Fermin;Alvarado;German;Accounting;Male;No
11423;Fernando;Greer;Spanish;Women, Gender and Sexuality Studies;Male;No
11424;Fidel;Padilla;USA;Philosophy;Male;No
11425;Filiberto;Simon;Japanese;Physics;Male;No
11426;Fletcher;Waters;USA;Sociology;Male;No
11427;Florencio;Nunez;USA;Spanish (see LAIS);Male;No
11428;Florentino;Ballard;USA;Accounting;Male;No
11429;Floyd;Schwartz;USA;Accounting;Male;No
11430;Forest;Mcbride;USA;Art History;Male;No
11431;Forrest;Houston;Great Britain;Accounting;Male;No
11432;Foster;Christensen;USA;Accounting;Male;No
11433;Frances;Klein;USA;Physics;Male;No
11434;Francesco;Pratt;USA;Dance;Male;No
11435;Francis;Briggs;USA;American Studies;Male;No
11436;Francisco;Parsons;USA;Spanish (see LAIS);Male;No
11437;Frank;Mclaughlin;German;Music;Male;No
11438;Frankie;Zimmerman;Spanish;Accounting;Male;No
11439;Franklin;French;USA;Accounting;Male;No
11440;Franklyn;Buchanan;Japanese;Philosophy;Male;No
11441;Fred;Moran;USA;Accounting;Male;No
11442;Freddie;Copeland;USA;Women, Gender and Sexuality Studies;Male;No
11443;Freddy;Roy;USA;Physics;Male;No
11444;Frederic;Pittman;USA;American Studies;Male;No
11445;Frederick;Brady;USA;Theatre;Male;No
11446;Fredric;Mccormick;Great Britain;Philosophy;Male;No
11447;Fredrick;Holloway;USA;Art History;Male;No
11448;Freeman;Brock;USA;Philosophy;Male;No
11449;Fritz;Poole;USA;Sociology;Male;No
11450;Gabriel;Frank;USA;Accounting;Male;No
11451;Gail;Logan;USA;Physics;Male;No
11452;Gale;Owen;German;Spanish (see LAIS);Male;No
11453;Galen;Bass;Spanish;Physics;Male;No
11454;Garfield;Marsh;USA;American Studies;Male;No
11455;Garland;Drake;Japanese;Accounting;Male;No
11456;Garret;Wong;USA;Accounting;Male;No
11457;Garrett;Jefferson;USA;Sociology;Male;No
11458;Garry;Park;USA;Philosophy;Male;No
11459;Garth;Morton;USA;Theatre;Male;No
11460;Gary;Abbott;USA;Accounting;Male;No
11461;Gaston;Sparks;Great Britain;American Studies;Male;No
11462;Gavin;Patrick;USA;Accounting;Male;No
11463;Gayle;Norton;USA;Accounting;Male;No
11464;Gaylord;Huff;USA;Philosophy;Male;No
11465;Genaro;Clayton;USA;Spanish (see LAIS);Male;No
11466;Gene;Massey;USA;American Studies;Male;No
11467;Geoffrey;Lloyd;German;Accounting;Male;No
11468;George;Figueroa;Spanish;Accounting;Male;No
11469;Gerald;Carson;USA;Philosophy;Male;No
11470;Geraldo;Bowers;Japanese;Physics;Male;No
11471;Gerard;Roberson;USA;American Studies;Male;No
11472;Gerardo;Barton;USA;Sociology;Male;No
11473;German;Tran;USA;Accounting;Male;No
11474;Gerry;Lamb;USA;Chinese and International Business;Male;No
11475;Gil;Harrington;USA;Classical Civilization;Male;No
11476;Gilbert;Casey;Great Britain;Computer Science;Male;No
11477;Gilberto;Boone;USA;Theatre;Male;No
11478;Gino;Cortez;USA;Computer Science;Male;No
11479;Giovanni;Clarke;USA;Combined major in French;Male;No
11480;Giuseppe;Mathis;USA;Psychology;Male;No
11481;Glen;Singleton;USA;Russian Studies;Male;No
11482;Glenn;Wilkins;German;Women, Gender and Sexuality Studies;Male;No
11483;Gonzalo;Cain;Spanish;Leadership Studies;Male;No
11484;Gordon;Bryan;USA;Philosophy;Male;No
11485;Grady;Underwood;Japanese;Religious Studies;Male;No
11486;Graham;Hogan;USA;Political Science;Male;No
11487;Graig;Mckenzie;USA;Accounting;Male;No
11488;Grant;Collier;USA;French;Male;No
11489;Granville;Luna;USA;Geography;Male;No
11490;Greg;Phelps;USA;Environmental Studies;Male;No
11491;Gregg;Mcguire;Great Britain;Environmental Studies;Male;No
11492;Gregorio;Allison;USA;Physics;Male;No
11493;Gregory;Bridges;USA;French and International Business;Male;No
11494;Grover;Wilkerson;USA;Greek;Male;No
11495;Guadalupe;Nash;USA;Combined major in Greek;Male;No
11496;Guillermo;Summers;USA;Mathematical Economics;Male;No
11497;Gus;Atkins;German;Accounting;Male;No
11498;Gustavo;Wilcox;Spanish;Chinese Studies;Male;No
11499;Guy;Pitts;USA;Art History;Male;No
11500;Hai;Conley;Japanese;Physics;Male;No
11501;Hal;Marquez;USA;Mathematics;Male;No
11502;Hank;Burnett;USA;Accounting;Male;No
11503;Hans;Richard;USA;Geography;Male;No
11504;Harlan;Cochran;USA;Environmental Studies;Male;No
11505;Harland;Chase;USA;Philosophy, Politics, Economics and Law (PPEL);Male;No
11506;Harley;Davenport;Great Britain;Classical Civilization;Male;No
